barbarie	barbarie	n.	f.			false
barbe	barbe	n.	f.			false
baromètre	baromètre	n.	m.			false
barque	barque	n.	f.			false
barrage	barrage	n.	m.			false
barre	barre	n.	f.			false
barricade	barricade	n.	f.			false
barrière	barrière	n.	f.			false
bas	bas	adv.				false
bas	bas	adj.				false
bas	bas	n.	m.			false
base	base	n.	f.			false
baseball	baseball	n.	m.			false
basketball	basketball	n.	m.			false
bassesse	bassesse	n.	f.			false
bataille	bataille	n.	f.			false
bateau	bateau	n.	m.			false
bâtiment	bâtiment	n.	m.			false
bâton	bâton	n.	m.			false
battement	battement	n.	m.			false
batterie	batterie	n.	f.			false
battre	battre	v.				false
bavard	bavard	adj.				false
bavardage	bavardage	n.	m.			false
bavure	bavure	n.	f.			false
beau	beau	adj.				false
beaucoup	beaucoup	adv.				false
beaucoup de	beaucoup de	dét.				false
beauté	beauté	n.	f.			false
bébé	bébé	n.	m.			false
bec	bec	n.	m.			false
beige	beige	adj.				false
belvédère	belvédère	n.	m.			false
bénéfice	bénéfice	n.	m.			false
bénévolat	bénévolat	n.	m.			false
bénévole	bénévole	n.	m.			false
béquille	béquille	n.	f.			false
berger	berger	n.	m.			false
besoin	besoin	n.	m.			false
bétail	bétail	n.	m.			false
bête	bête	adj.				false
bête	bête	n.	f.			false
bêtise	bêtise	n.	f.			false
béton	béton	n.	m.			false
beurre	beurre	n.	m.			false
bévue	bévue	n.	f.			false
bibelot	bibelot	n.	m.			false
biberon	biberon	n.	m.			false
bibliographie	bibliographie	n.	f.			false
bibliothèque	bibliothèque	n.	f.			false
biceps	biceps	n.	m.			false
bicyclette	bicyclette	n.	f.			false
bidonville	bidonville	n.	m.			false
bien	bien	adj.		inv.		false
bien	bien	n.	m.			false
bien-être	bien-être	n.	m.			false
bien-fondé	bien-fondé	n.	m.			false
bienêtre	bienêtre	n.	m.			true
bienfaisance	bienfaisance	n.	f.			false
bienfait	bienfait	n.	m.			false
bienfondé	bienfondé	n.	m.			true
bientôt	bientôt	adv.				false
bienveillance	bienveillance	n.	f.			false
bienvenue	bienvenue	n.	f.			false
