supraconduction	sypʀɑkɔ̃dyksjɔ̃	supraconduction.ad
staff	staf	staff.ad
staffeur	stafœʀ	staffeur.ad
staffeuse	staføz	staffeur.ad
stage	staʒ	stage.ad
stagflation	stagflasjɔ̃	stagflation.ad
stagiaire	staʒjɛʀ	stagiaire.ad
stagnant	staɲɑ̃	stagnant.ad
stagnante	staɲɑ̃t	stagnant.ad
stagnation	staɲasjɔ̃	stagnation.ad
stagner	staɲe	stagner.ad
stakhanovisme	stakanɔvism	stakhanovisme.ad
stakhanoviste	stakanɔvist	stakhanoviste.ad
stakning	stakniŋ	stakning.ad
stalactite	stalaktit	stalactite.ad
stalag	stalag	stalag.ad
stalagmite	stalagmit	stalagmite.ad
stalagmomètre	stalagmɔmɛ:tʀ	stalagmomètre.ad
stalagmométrie	stalagmɔmetʀi	stalagmométrie.ad
stalinien	stalinjɛ̃	stalinien.ad
stalinienne	stalinjɛn	stalinien.ad
stalinisme	stalinism	stalinisme.ad
stalle	stal	stalle.ad
staminal	staminal	staminal.ad
staminale	staminal	staminal.ad
staminifère	staminifɛʀ	staminifère.ad
staminé	stamine	staminé.ad
staminée	stamine	staminé.ad
stance	stɑ̃s	stance.ad
stand	stand	stand_1.ad
stand	stand	stand_2.ad
standard	stɑ̃dɑʀ	standard_1.ad
standard	stɑ̃dɑʀ	standard_2.ad
standardisation	stɑ̃daʀdizasjɔ̃	standardisation.ad
standardiser	stɑ̃daʀdize	standardiser.ad
standardiste	stɑ̃daʀdist	standardiste.ad
stanneux	stanø	stanneux.ad
stanneuse	stanøz	stanneux.ad
stannifère	stanifɛʀ	stannifère.ad
stannique	stanik	stannique.ad
staphisaigre	stafizɛgʀ	staphisaigre.ad
staphylin	stafilɛ̃	staphylin_1.ad
staphylin	stafilɛ̃	staphylin_2.ad
staphyline	stafilin	staphylin_2.ad
staphylococcie	stafilɔkɔksi	staphylococcie.ad
staphylocoque	stafilɔkɔk	staphylocoque.ad
star	stɑʀ	star.ad
starets	staʀɛts	starets.ad
starisation	staʀizasjɔ̃	starisation.ad
starking	staʀkiŋ	starking.ad
starlette	staʀlɛt	starlette.ad
stase	stɑz	stase.ad
stat	stat	stat.ad
statalisme	statalism	statalisme.ad
stathouder	statudɛʀ	stathouder.ad
statice	statis	statice.ad
statif	statif	statif.ad
statine	statin	statine.ad
station-aval	stasjɔ̃aval	station-aval.ad
station-service	stasjɔ̃sɛʀvis	station-service.ad
station	stasjɔ̃	station.ad
stationnaire	stasjɔnɛʀ	stationnaire.ad
stationnement	stasjɔnmɑ̃	stationnement.ad
stationner	stasjɔne	stationner.ad
stationné	stasjɔne	stationné.ad
stationnée	stasjɔne	stationné.ad
statique	statik	statique.ad
statiquement	statikmɑ̃	statiquement.ad
statisme	statism	statisme.ad
statisticien	statistisjɛ̃	statisticien.ad
statisticienne	statistisjɛn	statisticien.ad
statistique	statistik	statistique.ad
statistiquement	statistikmɑ̃	statistiquement.ad
statocyste	statɔsist	statocyste.ad
stator	statɔʀ	stator.ad
statoréacteur	statoʀeaktœʀ	statoréacteur.ad
statu quo	statykwo	statu_quo.ad
statuquo	statykwo	statu_quo.ad
statuaire	statɥɛʀ	statuaire.ad
statue	staty	statue.ad
statuer	statɥe	statuer.ad
statuette	statɥɛt	statuette.ad
statufier	statufje	statufier.ad
stature	statyʀ	stature.ad
staturo-pondéral	statyʀopɔ̃deʀal	staturo-pondéral_ou_staturopondéral.ad
staturopondéral	statyʀopɔ̃deʀal	staturo-pondéral_ou_staturopondéral.ad
staturo-pondérale	statyʀopɔ̃deʀal	staturo-pondéral_ou_staturopondéral.ad
staturopondérale	statyʀopɔ̃deʀal	staturo-pondéral_ou_staturopondéral.ad
staturopondéral	statyʀopɔ̃deʀal	staturo-pondéral_ou_staturopondéral.ad
statut	staty	statut.ad
statutaire	statytɛʀ	statutaire.ad
statutairement	statytɛʀmɑ̃	statutairement.ad
statère	statɛʀ	statère.ad
stawug	stavyg	stawug.ad
steak	stek	steak.ad
steeple	stipœl	steeple.ad
stellage	stɛlaʒ	stellage.ad
stellaire	stɛlɛʀ	stellaire.ad
stellite	stɛlit	stellite.ad
stelléroïdes	stɛleʀɔid	stelléroïdes.ad
stem	stɛm	stem_ou_stemm.ad
stemm	stɛm	stem_ou_stemm.ad
stencil	stɛnsil	stencil.ad
stentor	stɑ̃tɔʀ	stentor.ad
step	stɛp	step.ad
steppage	stɛpaʒ	steppage.ad
steppe	stɛp	steppe.ad
steppique	stɛpik	steppique.ad
stercoraire	stɛʀkɔʀɛʀ	stercoraire.ad
stercoral	stɛʀkɔʀal	stercoral.ad
stercorale	stɛʀkɔʀal	stercoral.ad
sterling	stœʀliŋ	sterling.ad
sterling	stɛʀlɛ̃	sterling.ad
sternal	stɛʀnal	sternal.ad
sternale	stɛʀnal	sternal.ad
sterne	stɛʀn	sterne.ad
sterno-cléido-mastoïdien	stɛʀnokleidomastɔidjɛ̃	sterno-cléido-mastoïdien.ad
sternocléidomastoïdien	stɛʀnokleidomastɔidjɛ̃	sterno-cléido-mastoïdien.ad
sternum	stɛʀnɔm	sternum.ad
sternutation	stɛʀnytasjɔ̃	sternutation.ad
sternutatoire	stɛʀnytatwɑʀ	sternutatoire.ad
stertor	stɛʀtɔʀ	stertor.ad
stertoreux	stɛʀtɔʀø	stertoreux.ad
stertoreuse	stɛʀtɔʀøz	stertoreux.ad
stetson	stɛtsɔn	stetson.ad
stevia	stevjɑ	stevia_ou_stévia.ad
stévia	stevjɑ	stevia_ou_stévia.ad
stévia	stevjɑ	stevia_ou_stévia.ad
stew	stju	stew.ad
sthène	stɛn	sthène.ad
sthénique	stenik	sthénique.ad
stibine	stibin	stibine.ad
stibié	stibje	stibié.ad
stibiée	stibje	stibié.ad
stichomythie	stikɔmiti	stichomythie.ad
stigmate	stigmat	stigmate.ad
stigmatique	stigmatik	stigmatique.ad
stigmatisant	stigmatizɑ̃	stigmatisant.ad
stigmatisante	stigmatizɑ̃t	stigmatisant.ad
stigmatisation	stigmatizasjɔ̃	stigmatisation.ad
stigmatiser	stigmatize	stigmatiser.ad
stigmatisme	stigmatism	stigmatisme.ad
stigmomètre	stigmomɛ:tʀ	stigmomètre.ad
stil-de-grain	stildəgʀɛ̃	stil-de-grain.ad
stilligoutte	stiligut	stilligoutte.ad
stilton	stiltɔn	stilton.ad
stimulant	stimylɑ̃	stimulant.ad
stimulante	stimylɑ̃t	stimulant.ad
stimulateur	stimylatœʀ	stimulateur.ad
stimulatrice	stimylatʀis	stimulateur.ad
stimulation	stimylasjɔ̃	stimulation.ad
stimuler	stimyle	stimuler.ad
stimuline	stimylin	stimuline.ad
stimulus	stimylys	stimulus.ad
stipe	stip	stipe.ad
stipendier	stipɑ̃dje	stipendier.ad
stipendié	stipɑ̃dje	stipendié.ad
stipendiée	stipɑ̃dje	stipendié.ad
stipité	stipite	stipité.ad
stipitée	stipite	stipité.ad
stipulation	stipylasjɔ̃	stipulation.ad
stipule	stipyl	stipule.ad
stipuler	stipyle	stipuler.ad
stipulé	stipyle	stipulé.ad
stipulée	stipyle	stipulé.ad
stochastique	stɔkastik	stochastique.ad
stock-option	stɔkɔpsjɔ̃	stock-option.ad
stock	stɔk	stock.ad
stockage	stɔkaʒ	stockage.ad
stocker	stɔke	stocker.ad
stockfisch	stɔkfiʃ	stockfisch.ad
stockiste	stɔkist	stockiste.ad
stœchiométrie	stekjɔmetʀi	stoechiométrie.ad
stoechiométrie	stekjɔmetʀi	stoechiométrie.ad
stœchiométrique	stekjɔmetʀik	stoechiométrique.ad
stoechiométrique	stekjɔmetʀik	stoechiométrique.ad
stokes	stoks	stokes.ad
stolon	stɔlɔ̃	stolon.ad
stolonifère	stɔlɔnifɛʀ	stolonifère.ad
stomacal	stɔmakal	stomacal.ad
stomacale	stɔmakal	stomacal.ad
stomachique	stɔmaʃik	stomachique.ad
stomate	stɔmat	stomate.ad
stomatite	stɔmatit	stomatite.ad
stomato-	stɔmato-	stomato-.ad
stomatologie	stɔmatɔlɔʒi	stomatologie.ad
stomatologiste	stɔmatɔlɔʒist	stomatologiste.ad
stomatoplastie	stɔmatoplasti	stomatoplastie.ad
stomisé	stɔmize	stomisé.ad
stomisée	stɔmize	stomisé.ad
stop	stɔp	stop.ad
stoppage	stɔpaʒ	stoppage.ad
stopper	stɔpe	stopper.ad
stoppeur	stɔpœʀ	stoppeur_1.ad
stoppeuse	stɔpøz	stoppeur_1.ad
storax	stɔʀaks	storax.ad
store	stɔʀ	store.ad
storiste	stɔʀist	storiste.ad
stoupa	stupɑ	stoupa_ou_stûpa.ad
stûpa	stupɑ	stoupa_ou_stûpa.ad
stoupa	stupɑ	stoupa_ou_stûpa.ad
stout	stawt	stout.ad
stoïcien	stɔisjɛ̃	stoïcien.ad
stoïcienne	stɔisjɛn	stoïcien.ad
stoïcisme	stɔisism	stoïcisme.ad
stoïque	stɔik	stoïque.ad
stoïquement	stɔikmɑ̃	stoïquement.ad
strabique	stʀabik	strabique.ad
strabisme	stʀabism	strabisme.ad
stradivarius	stʀadivaʀjys	stradivarius.ad
stramoine	stʀamwan	stramoine.ad
strangulation	stʀɑ̃gylasjɔ̃	strangulation.ad
stranguler	stʀɑ̃gyle	stranguler.ad
strapontin	stʀapɔ̃tɛ̃	strapontin.ad
strasbourgeois	stʀazbuʀʒwa	strasbourgeois.ad
strasbourgeoise	stʀazbuʀʒwɑz	strasbourgeois.ad
strass	stʀas	strass_ou_stras.ad
stras	stʀas	strass_ou_stras.ad
strasse	stʀas	strasse.ad
stratagème	stʀataʒɛm	stratagème.ad
strate	stʀat	strate.ad
stratification	stʀatifikasjɔ̃	stratification.ad
stratifier	stʀatifje	stratifier.ad
stratifié	stʀatifje	stratifié.ad
stratifiée	stʀatifje	stratifié.ad
stratigraphie	stʀatigʀafi	stratigraphie.ad
stratigraphique	stʀatigʀafik	stratigraphique.ad
strato-	stʀato-	strato-.ad
stratocumulus	stʀatokymylys	stratocumulus.ad
stratoforteresse	stʀatofɔʀtəʀɛs	stratoforteresse.ad
stratopause	stʀatopoz	stratopause.ad
stratosphère	stʀatɔsfɛʀ	stratosphère.ad
stratosphérique	stʀatɔsfeʀik	stratosphérique.ad
stratus	stʀatys	stratus.ad
stratège	stʀatɛʒ	stratège.ad
stratégie	stʀateʒi	stratégie.ad
stratégique	stʀateʒik	stratégique.ad
stratégiquement	stʀateʒikmɑ̃	stratégiquement.ad
strelitzia	stʀelitzjɑ	strelitzia.ad
strélitzia	stʀelitzjɑ	strelitzia.ad
streptococcie	stʀɛptɔkɔksi	streptococcie.ad
streptocoque	stʀɛptɔkɔk	streptocoque.ad
streptomycine	stʀɛptɔmisin	streptomycine.ad
streptope	stʀɛptɔp	streptope.ad
stress	stʀɛs	stress.ad
stressant	stʀɛsɑ̃	stressant.ad
stressante	stʀɛsɑ̃t	stressant.ad
stresser	stʀɛse	stresser.ad
strette	stʀɛt	strette.ad
striation	stʀiasjɔ̃	striation.ad
strict	stʀikt	strict.ad
stricte	stʀikt	strict.ad
strictement	stʀiktəmɑ̃	strictement.ad
striction	stʀiksjɔ̃	striction.ad
stricto sensu	stʀiktosɛnsu	stricto_sensu.ad
stridence	stʀidɑ̃s	stridence.ad
strident	stʀidɑ̃	strident.ad
stridente	stʀidɑ̃t	strident.ad
stridor	stʀidɔʀ	stridor.ad
stridulant	stʀidylɑ̃	stridulant.ad
stridulante	stʀidylɑ̃t	stridulant.ad
stridulation	stʀidylasjɔ̃	stridulation.ad
striduler	stʀidyle	striduler.ad
striduleux	stʀidylø	striduleux.ad
striduleuse	stʀidyløz	striduleux.ad
strie	stʀi	strie.ad
strier	stʀie	strier.ad
strige	stʀiʒ	strige_ou_stryge.ad
stryge	stʀiʒ	strige_ou_stryge.ad
strigiforme	stʀiʒifɔʀm	strigiforme.ad
strigile	stʀiʒil	strigile.ad
string	stʀiŋ	string.ad
strioscopie	stʀiɔskɔpi	strioscopie.ad
strioscopique	stʀiɔskɔpik	strioscopique.ad
striptease	stʀipti:z	striptease_ou_strip-tease.ad
strip-tease	stʀipti:z	striptease_ou_strip-tease.ad
striptease	stʀipti:z	striptease_ou_strip-tease.ad
stripteaseur	stʀiptizœʀ	stripteaseur_ou_strip-teaseur.ad
strip-teaseur	stʀiptizœʀ	stripteaseur_ou_strip-teaseur.ad
stripteaseuse	stʀiptizøz	stripteaseur_ou_strip-teaseur.ad
strip-teaseuse	stʀiptizøz	stripteaseur_ou_strip-teaseur.ad
stripteaseur	stʀiptizœʀ	stripteaseur_ou_strip-teaseur.ad
striure	stʀiyʀ	striure.ad
strié	stʀie	strié.ad
striée	stʀie	strié.ad
strobile	stʀɔbil	strobile.ad
stroboscope	stʀɔbɔskɔp	stroboscope.ad
stroboscopie	stʀɔbɔskɔpi	stroboscopie.ad
stroboscopique	stʀɔbɔskɔpik	stroboscopique.ad
stroma	stʀɔmɑ	stroma.ad
stromaté	stʀɔmate	stromaté.ad
stromatée	stʀɔmate	stromaté.ad
strombolien	stʀɔ̃bɔljɛ̃	strombolien.ad
strombolienne	stʀɔ̃bɔljɛn	strombolien.ad
strongle	stʀɔ̃gl	strongle.ad
strongylose	stʀɔ̃ʒiloz	strongylose.ad
strontium	stʀɔ̃tjɔm	strontium.ad
strophaire	stʀɔfɛʀ	strophaire.ad
strophe	stʀɔf	strophe.ad
structurable	stʀyktyʀabl	structurable.ad
structural	stʀyktyʀal	structural.ad
structurale	stʀyktyʀal	structural.ad
structuralisme	stʀyktyʀalism	structuralisme.ad
structuraliste	stʀyktyʀalist	structuraliste.ad
structurant	stʀyktyʀɑ̃	structurant.ad
structurante	stʀyktyʀɑ̃t	structurant.ad
structuration	stʀyktyʀasjɔ̃	structuration.ad
structure	stʀyktyʀ	structure.ad
structurel	stʀyktyʀɛl	structurel.ad
structurelle	stʀyktyʀɛl	structurel.ad
structurellement	stʀyktyʀɛlmɑ̃	structurellement.ad
structurer	stʀyktyʀe	structurer.ad
structuré	stʀyktyʀe	structuré.ad
structurée	stʀyktyʀe	structuré.ad
strudel	stʀydɛl	strudel.ad
struthioniforme	stʀytjɔnifɔʀm	struthioniforme.ad
strychnine	stʀiknin	strychnine.ad
strychnos	stʀiknɔs	strychnos.ad
stuc	styk	stuc.ad
stucage	stykaʒ	stucage.ad
stucateur	stykatœʀ	stucateur.ad
studette	stydɛt	studette.ad
studieusement	stydjøzmɑ̃	studieusement.ad
studieux	stydjø	studieux.ad
studieuse	stydjøz	studieux.ad
studio	stydjo	studio.ad
stupeur	stypœʀ	stupeur.ad
stupide	stypid	stupide.ad
stupidement	stypidmɑ̃	stupidement.ad
stupidité	stypidite	stupidité.ad
stuporeux	stypɔʀø	stuporeux.ad
stuporeuse	stypɔʀøz	stuporeux.ad
stupre	stypʀ	stupre.ad
stupéfaction	stypefaksjɔ̃	stupéfaction.ad
stupéfaire	stypefɛʀ	stupéfaire.ad
stupéfait	stypefɛ	stupéfait.ad
stupéfaite	stypefɛt	stupéfait.ad
stupéfiant	stypefjɑ̃	stupéfiant.ad
stupéfiante	stypefjɑ̃t	stupéfiant.ad
stupéfier	stypefje	stupéfier.ad
stuquer	styke	stuquer.ad
sturnelle	styʀnɛl	sturnelle.ad
sturnidé	styʀnide	sturnidé.ad
style	stil	style.ad
styler	stile	styler.ad
stylet	stilɛ	stylet.ad
stylisation	stilizasjɔ̃	stylisation.ad
styliser	stilize	styliser.ad
stylisme	stilism	stylisme.ad
styliste	stilist	styliste.ad
stylisticien	stilistisjɛ̃	stylisticien.ad
stylisticienne	stilistisjɛn	stylisticien.ad
stylistique	stilistik	stylistique.ad
stylite	stilit	stylite.ad
stylo	stilo	stylo.ad
stylobate	stilɔbat	stylobate.ad
stylomine	stilomin	stylomine.ad
styloïde	stilɔid	styloïde.ad
stylé	stile	stylé.ad
stylée	stile	stylé.ad
styrax	stiʀaks	styrax.ad
styromousse	stiʀomus	styromousse.ad
styrène	stiʀɛn	styrène.ad
stèle	stɛl	stèle.ad
stère	stɛʀ	stère.ad
stéarate	steaʀat	stéarate.ad
stéarine	steaʀin	stéarine.ad
stéarique	steaʀik	stéarique.ad
stéatite	steatit	stéatite.ad
stéatopyge	steatɔpiʒ	stéatopyge.ad
stéatose	steatoz	stéatose.ad
stégocéphale	stegɔsefal	stégocéphale.ad
stégosaure	stegɔzɔʀ	stégosaure.ad
sténodactylo	stenodaktilo	sténodactylo.ad
sténodactylographie	stenodaktilɔgʀafi	sténodactylographie.ad
sténogramme	stenɔgʀam	sténogramme.ad
sténographe	stenɔgʀaf	sténographe.ad
sténographie	stenɔgʀafi	sténographie.ad
sténographier	stenɔgʀafje	sténographier.ad
sténographique	stenɔgʀafik	sténographique.ad
sténopé	stenɔpe	sténopé.ad
sténose	stenoz	sténose.ad
sténotherme	stenɔtɛʀm	sténotherme.ad
sténotype	stenɔtip	sténotype.ad
sténotypie	stenɔtipi	sténotypie.ad
sténotypiste	stenɔtipist	sténotypiste.ad
stéradian	steʀadjɑ̃	stéradian.ad
stéride	steʀid	stéride.ad
stérile	steʀil	stérile.ad
stérilement	steʀilmɑ̃	stérilement.ad
stérilet	steʀilɛ	stérilet.ad
stérilisant	steʀilizɑ̃	stérilisant.ad
stérilisante	steʀilizɑ̃t	stérilisant.ad
stérilisateur	steʀilizatœʀ	stérilisateur.ad
stérilisation	steʀilizasjɔ̃	stérilisation.ad
stériliser	steʀilize	stériliser.ad
stérilité	steʀilite	stérilité.ad
stérique	steʀik	stérique.ad
stérol	steʀɔl	stérol.ad
stéroïde	steʀɔid	stéroïde.ad
stéroïdien	steʀɔidjɛ̃	stéroïdien.ad
stéroïdienne	steʀɔidjɛn	stéroïdien.ad
stéréo-	steʀeo-	stéréo-.ad
stéréo-isomère	steʀeoizɔmɛʀ	stéréo-isomère.ad
stéréo-isomérie	steʀeoizɔmetʀi	stéréo-isomérie.ad
stéréo	steʀeo	stéréo_3.ad
stéréochimie	steʀeoʃimi	stéréochimie.ad
stéréocomparateur	steʀeokɔ̃paʀatœʀ	stéréocomparateur.ad
stéréognosie	steʀeognozi	stéréognosie.ad
stéréogramme	steʀeɔgʀam	stéréogramme.ad
stéréométrie	steʀeɔmetʀi	stéréométrie.ad
stéréométrique	steʀeɔmetʀik	stéréométrique.ad
stéréophonie	steʀeɔfɔni	stéréophonie.ad
stéréophonique	steʀeɔfɔnik	stéréophonique.ad
stéréophotographie	steʀeofɔtɔgʀafi	stéréophotographie.ad
stéréorégularité	steʀeoʀegylaʀite	stéréorégularité.ad
stéréoscope	steʀeɔskɔp	stéréoscope.ad
stéréoscopie	steʀeɔskɔpi	stéréoscopie.ad
stéréoscopique	steʀeɔskɔpik	stéréoscopique.ad
stéréospécificité	steʀeospesifisite	stéréospécificité.ad
stéréotomie	steʀeɔtɔmi	stéréotomie.ad
stéréotype	steʀeɔtip	stéréotype.ad
stéréotyper	steʀeɔtipe	stéréotyper.ad
stéréotypie	steʀeɔtipi	stéréotypie.ad
stéréotypé	steʀeɔtipe	stéréotypé.ad
stéréotypée	steʀeɔtipe	stéréotypé.ad
stéréovision	steʀeovizjɔ̃	stéréovision.ad
stéthoscope	stetɔskɔp	stéthoscope.ad
su	sy	su.ad
sue	sy	su.ad
suaire	sɥɛʀ	suaire.ad
suant	sɥɑ̃	suant.ad
suante	sɥɑ̃t	suant.ad
suave	sɥav	suave.ad
suavement	sɥavmɑ̃	suavement.ad
suavité	sɥavite	suavité.ad
sub-	syb-	sub-.ad
subadulte	sybadylt	subadulte.ad
subalpin	sybalpɛ̃	subalpin.ad
subalpine	sybalpin	subalpin.ad
subalterne	sybaltɛʀn	subalterne.ad
subaquatique	sybakwatik	subaquatique.ad
subarctique	sybaʀktik	subarctique.ad
subaride	sybaʀid	subaride.ad
subatomique	sybatɔmik	subatomique.ad
subaérien	sybaeʀjɛ̃	subaérien.ad
subaérienne	sybaeʀjɛn	subaérien.ad
subcarence	sybkaʀɑ̃s	subcarence.ad
subconscient	sybkɔ̃sjɑ̃	subconscient.ad
subconsciente	sybkɔ̃sjɑ̃t	subconscient.ad
subdiviser	sybdivize	subdiviser.ad
subdivision	sybdivizjɔ̃	subdivision.ad
subdivisionnaire	sybdivizjɔnɛʀ	subdivisionnaire.ad
subduction	sybdyksjɔ̃	subduction.ad
subdélégation	sybdelegasjɔ̃	subdélégation.ad
subdéléguer	sybdelege	subdéléguer.ad
subdésertique	sybdezɛʀtik	subdésertique.ad
suber	sybɛʀ	suber.ad
subintrant	sybɛ̃tʀɑ̃	subintrant.ad
subintrante	sybɛ̃tʀɑ̃t	subintrant.ad
subir	sybiʀ	subir.ad
subit	sybi	subit.ad
subite	sybit	subit.ad
subitement	sybitmɑ̃	subitement.ad
subito	sybito	subito.ad
subjacent	sybʒasɑ̃	subjacent.ad
subjacente	sybʒasɑ̃t	subjacent.ad
subjectif	sybʒɛktif	subjectif.ad
subjective	sybʒɛktiv	subjectif.ad
subjectivement	sybʒɛktivmɑ̃	subjectivement.ad
subjectivisme	sybʒɛktivism	subjectivisme.ad
subjectiviste	sybʒɛktivist	subjectiviste.ad
subjectivité	sybʒɛktivite	subjectivité.ad
subjonctif	sybʒɔ̃ktif	subjonctif.ad
subjonctive	sybʒɔ̃ktiv	subjonctif.ad
subjuguer	sybʒyge	subjuguer.ad
sublimation	syblimasjɔ̃	sublimation.ad
sublime	syblim	sublime.ad
sublimement	syblimmɑ̃	sublimement.ad
sublimer	syblime	sublimer.ad
subliminal	sybliminal	subliminal.ad
subliminale	sybliminal	subliminal.ad
sublimité	syblimite	sublimité.ad
sublimé	syblime	sublimé.ad
sublimée	syblime	sublimé.ad
sublingual	syblɛ̃gɥal	sublingual.ad
sublinguale	syblɛ̃gɥal	sublingual.ad
sublunaire	syblynɛʀ	sublunaire.ad
submerger	sybmɛʀʒe	submerger.ad
submersible	sybmɛʀsibl	submersible.ad
submersion	sybmɛʀsjɔ̃	submersion.ad
subodorer	sybɔdɔʀe	subodorer.ad
suborbital	sybɔʀbital	suborbital.ad
suborbitale	sybɔʀbital	suborbital.ad
subordination	sybɔʀdinasjɔ̃	subordination.ad
subordonner	sybɔʀdɔne	subordonner.ad
subordonné	sybɔʀdɔne	subordonné.ad
subordonnée	sybɔʀdɔne	subordonné.ad
subornation	sybɔʀnasjɔ̃	subornation.ad
suborner	sybɔʀne	suborner.ad
suborneur	sybɔʀnœʀ	suborneur.ad
suborneuse	sybɔʀnøz	suborneur.ad
subpolaire	sybpɔlɛʀ	subpolaire.ad
subreptice	sybʀɛptis	subreptice.ad
subrepticement	sybʀɛptismɑ̃	subrepticement.ad
subrogateur	sybʀɔgatœʀ	subrogateur.ad
subrogatif	sybʀɔgatif	subrogatif.ad
subrogative	sybʀɔgativ	subrogatif.ad
subrogation	sybʀɔgasjɔ̃	subrogation.ad
subrogatoire	sybʀɔgatwɑʀ	subrogatoire.ad
subroger	sybʀɔʒe	subroger.ad
subrogé	sybʀɔʒe	subrogé.ad
subrogée	sybʀɔʒe	subrogé.ad
subsaharien	sybsaaʀjɛ̃	subsaharien.ad
subsaharienne	sybsaaʀjɛn	subsaharien.ad
subside	sypsid	subside.ad
subsidence	sypsidɑ̃s	subsidence.ad
subsidiaire	sypsidjɛʀ	subsidiaire.ad
subsidiairement	sypsidjɛʀmɑ̃	subsidiairement.ad
subsistance	sybzistɑ̃s	subsistance.ad
subsistant	sybzistɑ̃	subsistant.ad
subsistante	sybzistɑ̃t	subsistant.ad
subsister	sybziste	subsister.ad
subsonique	sybsɔnik	subsonique.ad
substance	sypstɑ̃s	substance.ad
substantialisme	sypstɑ̃sjalism	substantialisme.ad
substantialiste	sypstɑ̃sjalist	substantialiste.ad
substantialité	sypstɑ̃sjalite	substantialité.ad
substantiel	sypstɑ̃sjɛl	substantiel.ad
substantielle	sypstɑ̃sjɛl	substantiel.ad
substantiellement	sypstɑ̃sjɛlmɑ̃	substantiellement.ad
substantif	sypstɑ̃tif	substantif.ad
substantifique	sypstɑ̃tifik	substantifique.ad
substantivation	sypstɑ̃tivasjɔ̃	substantivation.ad
substantivement	sypstɑ̃tivmɑ̃	substantivement.ad
substantiver	sypstɑ̃tive	substantiver.ad
substituable	sypstitɥabl	substituable.ad
substituer	sypstitɥe	substituer.ad
substitut	sypstity	substitut.ad
substitutif	sypstitytif	substitutif.ad
substitutive	sypstitytiv	substitutif.ad
substitution	sypstitysjɔ̃	substitution.ad
substrat	sybstʀɑ	substrat.ad
subsumer	sypsyme	subsumer.ad
subséquemment	sypsekamɑ̃	subséquemment.ad
subséquent	sypsekɑ̃	subséquent.ad
subséquente	sypsekɑ̃t	subséquent.ad
subterfuge	syptɛʀfyʒ	subterfuge.ad
subtil	syptil	subtil.ad
subtile	syptil	subtil.ad
subtilement	syptilmɑ̃	subtilement.ad
subtilisation	syptilizasjɔ̃	subtilisation.ad
subtiliser	syptilize	subtiliser.ad
subtilité	syptilite	subtilité.ad
subtropical	sybtʀɔpikal	subtropical.ad
subtropicale	sybtʀɔpikal	subtropical.ad
subulé	sybyle	subulé.ad
subulée	sybyle	subulé.ad
suburbain	sybyʀbɛ̃	suburbain.ad
suburbaine	sybyʀbɛn	suburbain.ad
suburbicaire	sybyʀbikɛʀ	suburbicaire.ad
subvenir	sybvəniʀ	subvenir.ad
subvention	sybvɑ̃sjɔ̃	subvention.ad
subventionnaire	sybvɑ̃sjɔnɛʀ	subventionnaire.ad
subventionner	sybvɑ̃sjɔne	subventionner.ad
subversif	sybvɛʀsif	subversif.ad
subversive	sybvɛʀsiv	subversif.ad
subversion	sybvɛʀsjɔ̃	subversion.ad
subvertir	sybvɛʀtiʀ	subvertir.ad
subéquatorial	sybekwatɔʀjal	subéquatorial.ad
subéquatoriale	sybekwatɔʀjal	subéquatorial.ad
subéreux	sybeʀø	subéreux.ad
subéreuse	sybeʀøz	subéreux.ad
subérine	sybeʀin	subérine.ad
suc	syk	suc.ad
succenturié	syksɑ̃tyʀje	succenturié.ad
successeur	syksɛsœʀ	successeur.ad
successeure	syksɛsœʀ	successeur.ad
successibilité	syksɛsibilite	successibilité.ad
successible	syksɛsibl	successible.ad
successif	syksɛsif	successif.ad
successive	syksɛsiv	successif.ad
succession	syksɛsjɔ̃	succession.ad
successivement	syksɛsivmɑ̃	successivement.ad
successoral	syksɛsɔʀal	successoral.ad
successorale	syksɛsɔʀal	successoral.ad
succin	syksɛ̃	succin.ad
succinct	syksɛ̃	succinct.ad
succincte	syksɛ̃t	succinct.ad
succinctement	syksɛ̃tmɑ̃	succinctement.ad
succinique	syksinik	succinique.ad
succion	syksjɔ̃	succion.ad
succomber	sykɔ̃be	succomber.ad
succube	sykyb	succube.ad
succulence	sykylɑ̃s	succulence.ad
succulent	sykylɑ̃	succulent.ad
succulente	sykylɑ̃t	succulent.ad
succursale	sykyʀsal	succursale.ad
succursalisme	sykyʀsalism	succursalisme.ad
succursaliste	sykyʀsalist	succursaliste.ad
succès	syksɛ	succès.ad
succédané	syksedane	succédané.ad
succéder	syksede	succéder.ad
suce	sys	suce.ad
sucement	sysmɑ̃	sucement.ad
sucer	syse	sucer.ad
sucette	sysɛt	sucette.ad
suceur	sysœʀ	suceur_1.ad
suceuse	sysøz	suceur_1.ad
sucrage	sykʀaʒ	sucrage.ad
sucrant	sykʀɑ̃	sucrant.ad
sucrante	sykʀɑ̃t	sucrant.ad
sucrase	sykʀaz	sucrase.ad
sucrate	sykʀat	sucrate.ad
sucre	sykʀ	sucre.ad
sucrer	sykʀe	sucrer.ad
sucrerie	sykʀəʀi	sucrerie.ad
sucrette	sykʀɛt	sucrette.ad
sucrier	sykʀie	sucrier.ad
sucrière	sykʀiɛʀ	sucrier.ad
sucrine	sykʀin	sucrine.ad
sucré	sykʀe	sucré.ad
sucrée	sykʀe	sucré.ad
