supraconduction	sypʀɑkɔ̃dyksjɔ̃	supraconduction.ad
-scope	-skɔp	-scope.ad
-scopie	-skɔpi	-scopie.ad
-son	-sɔ̃	-son_ou_-ison.ad
-ison	-izɔ̃	-son_ou_-ison.ad
-stase	-stɑz	-stase.ad
-t-	-t-	-t-.ad
-thèque	-tɛk	-thèque.ad
-thérapie	-teʀapi	-thérapie.ad
-tique	-tik	-tique_1.ad
-tome	-tom	-tome.ad
-ton	-tɔ̃	-ton_ou_-eton.ad
-eton	-ətɔ̃	-ton_ou_-eton.ad
-tonie	-tɔni	-tonie.ad
-tron	-tʀɔ̃	-tron.ad
-u	-y	-u_1.ad
-ue	-y	-u_1.ad
-u	-y	-u_2.ad
-ue	-y	-u_2.ad
-uaire	-ɥɛʀ	-uaire.ad
-ude	-yd	-ude_ou_-itude.ad
-itude	-ityd	-ude_ou_-itude.ad
-uel	-ɥɛl	-uel.ad
-uelle	-ɥɛl	-uel.ad
-ule	-yl	-ule_ou_-cule_ou_-icule.ad
-cule	-kyl	-ule_ou_-cule_ou_-icule.ad
-icule	-ikyl	-ule_ou_-cule_ou_-icule.ad
-ulence	-ylɑ̃s	-ulence.ad
-ulent	-ylɑ̃	-ulent.ad
-ulente	-ylɑ̃t	-ulent.ad
-ument	-ymɑ̃	-ument.ad
-ure	-yʀ	-ure_2.ad
-ure	-yʀ	-ure_ou_-ature_1.ad
-ature	-atyʀ	-ure_ou_-ature_1.ad
-vore	-vɔʀ	-vore.ad
-âtre	-ɑtʀ	-âtre.ad
-èdre	-ɛdʀ	-èdre.ad
-ème	-ɛm	-ème.ad
-ène	-ɛn	-ène.ad
-èse	-ɛz	-èse.ad
-é	-e	-é_1.ad
-ée	-e	-é_1.ad
-é	-e	-é_2.ad
-éclair	-eklɛʀ	-éclair.ad
-ée	-e	-ée_1.ad
-ée	-e	-ée_2.ad
-ée	-e	-ée_3.ad
-ée	-e	-ée_4.ad
-éen	-eɛ̃	-éen.ad
-éenne	-eɛn	-éen.ad
-émie	-emi	-émie.ad
-été	-ete	-été.ad
abs	ɑbeɛs	ABS.ad
acth	ɑseteaʃ	ACTH.ad
adac	adak	ADAC.ad
adav	adav	ADAV.ad
adn	ɑdeɛn	ADN.ad
aha	ɑaʃɑ	AHA.ad
ajax	adʒaks	AJAX.ad
amm	ɑɛmɛm	AMM.ad
amp	ɑɛmpe	AMP.ad
am	ɑɛm	AM_1.ad
ansi	ɑ̃si	ANSI.ad
arn	ɑɛʀɛn	ARN.ad
asa	ɑɛsɑ	ASA.ad
asbl	ɑɛsbeɛl	ASBL.ad
ascii	aski	ASCII.ad
atp	ɑtepe	ATP.ad
azerty	azɛʀti	AZERTY.ad
azt	ɑzɛdte	AZT.ad
bcg	beseʒe	BCG.ad
bios	biɔs	BIOS.ad
bk	bekɑ	BK_1.ad
bo	beo	BO.ad
bp	bepe	BP.ad
btu	betey	BTU.ad
cao	seɑo	CAO.ad
cd	sede	CD_1.ad
cfa	seɛfɑ	CFA.ad
cfao	seɛfɑo	CFAO.ad
cfc	seɛfse	CFC.ad
cgs	seʒeɛs	CGS.ad
clsc	seɛlɛsse	CLSC.ad
cns	seɛnɛs	CNS.ad
cod	seode	COD.ad
coi	seoi	COI_2.ad
cqfd	sekyɛfde	CQFD.ad
crs	seɛʀɛs	CRS.ad
crsss	seɛʀɛsɛsɛs	CRSSS.ad
css	seɛsɛs	CSS.ad
cologne	kɔlɔɲ	Cologne.ad
dao	dao	DAO_1.ad
